5,2373,510,781,771,1725,1910,2334,2384,1650,1808,880,1111,840,1461,2442,1946,561,1856,1106,959,2076,1433,2329,1067,1911,2425,2329,919,602,2163,1964,1126,651,697,1451,2039,1573,1810,1582,1549,2736,1375,2287,727,987,1392,1369
2602,5,2391,2205,1720,1721,1678,1031,1349,1981,1943,1699,2072,2324,1551,386,1461,2340,629,2574,1730,467,1837,975,1590,987,1012,279,2720,2200,1926,1036,1348,1828,1731,2035,458,1564,1595,1051,1849,972,2087,710,2200,1496,1708,1250
615,2360,10,741,745,1475,1818,2274,2476,1416,1575,854,1087,424,1261,2350,1848,337,1767,860,709,2001,1237,2244,833,1823,2355,2243,521,576,2152,1872,1023,625,671,1220,1965,1479,1577,1489,1309,2836,1333,2225,690,926,1213,1345
885,2240,833,8,1031,1367,1767,2036,2547,1323,981,767,454,657,1126,2283,1687,536,1726,828,990,1928,1141,2037,887,1769,2133,2187,1039,729,2443,1806,1312,407,581,1127,1909,1440,1484,1435,1212,2916,704,2137,450,1172,1072,1226
864,1633,776,931,13,1034,1106,1526,1578,985,1129,658,1074,1003,815,1701,1154,705,1117,1282,269,1340,757,1537,387,1166,1633,1590,1126,557,1547,1224,383,624,690,776,1297,785,1136,844,861,2096,1084,1536,891,250,707,624
1763,1752,1528,1287,1039,48,645,775,806,411,447,782,512,1402,913,1350,443,1287,1378,1654,788,1847,496,775,643,1427,865,1665,1879,1168,2480,1480,877,907,811,237,1893,673,236,1094,586,1334,399,2132,1288,1000,709,889
1794,1775,1648,1521,983,697,13,798,829,955,1111,1007,1082,1624,814,1376,428,1599,1129,1885,1030,1345,1058,798,884,1176,885,1708,1993,1423,1965,1236,625,1135,1039,807,1309,432,596,852,1153,1358,1059,1560,1513,749,998,644
2083,1009,1934,1877,1259,728,699,22,648,989,833,1360,1110,1984,1107,628,499,1882,1335,2250,1382,1135,1094,44,1242,1704,547,949,2276,1706,2628,1753,902,1493,1397,835,1167,730,622,1119,1167,603,1091,1402,1866,1025,1295,938
2258,1258,2132,2273,1448,905,868,810,3,1175,859,1551,1287,2338,1284,886,676,2234,1587,2526,1566,1394,1271,810,1426,1648,326,1208,2473,1895,2448,1698,1091,1684,1588,1020,1419,895,799,1314,1351,755,1279,1661,2088,1214,1479,1105
1716,2087,1475,1274,1017,445,962,1103,1140,3,543,767,180,1402,901,1721,755,1278,1464,1643,774,2215,469,1104,634,1513,1211,2033,1837,1167,2460,1573,964,897,801,192,1646,991,540,1186,562,1670,488,1879,1274,1165,679,972
1871,1645,1639,992,1181,484,1103,768,644,541,31,908,631,1521,1046,1278,916,1417,1610,1976,928,1787,628,772,788,1669,696,1599,2001,1314,2601,1722,1125,1038,942,378,1819,1128,694,1335,724,1236,314,2049,1542,1329,834,1128
923,1636,882,693,677,815,1134,1483,1510,761,905,8,771,810,558,1710,1125,696,1124,1062,445,1346,538,1461,301,1183,1554,1592,1213,577,2127,1235,622,316,220,531,1307,791,910,849,620,2038,836,1549,693,829,491,642
1123,2211,1075,452,1101,542,1059,1201,1237,195,968,743,1,1000,1125,1824,852,877,1700,1264,1012,1922,566,1202,868,1747,1308,2160,1406,773,2542,1807,1204,514,560,291,1882,1412,637,1420,660,2303,696,2124,892,1249,1049,1211
846,2371,388,611,977,1485,1905,2167,2620,1441,1600,890,1118,13,1264,2407,1796,514,1849,752,951,2063,1262,2137,1015,1904,2264,2319,709,721,2415,1932,1261,533,709,1245,2032,1569,1601,1561,1333,2964,1364,2259,511,1125,1202,1360
